_id,imo,mmsi,name,loa,lbp,deadweight,breadth_moulded,hull_beam,gt,nt,call_sign,construction_date,maximum_draught,ship_type_code,ship_type_description,registry_country_code,registry_country_name,flag_country_code,flag_country_name,ship_group_code,ship_group_description,ship_owner_code,ship_owner_name,management_company_code,management_company_name
660be5d20fbae760cef261e8,9245263,353209000,BLUE IVY,138.86,132.14,10890,15.87,,6823,3560,H3NM,2002-02-02,7.99,50,Carga Geral,PA,Panamá,PA,Panamá,33,Carga Geral,,,,
660be5d20fbae760cef261e9,9956331,210585000,FLORVIK,89.97,,4270,12.5,,2627,988,5BEE6,2023-07-31,6,523,Graneleiro / Cimento,CY,Chipre,CY,Chipre,20,Granéis Sólidos,,,CY10378287J,Eureka Shipping Ltd
